Taxa,rpl16,trnL-trnF,rps16,rbcL,ETS,ITS
Diplacus angustatus,,AY575485.1,,,AY575269.1,AY575378.1
Diplacus aridus,,,,,AY575288.1,AY575396.1
Diplacus aurantiacus,,AY575495.1,AJ609163.1,AF026835.1,AY575282.1,AY575389.1
Diplacus bigelovii,,AY575461.1,,,AY575242.1,AY575353.1
Diplacus bolanderi,,AY575460.1,,,AY575241.1,AY575352.1
Diplacus brevipes,,AY575466.1,,,AY575247.1,AY575358.1
Diplacus calycinus,,AY575498.1,,,AY575286.1,AY575393.1
Diplacus clevelandii,,AF478983.1,,,AF478951.1,AF478918.1
Diplacus clivicola,,AY575477.1,,,AY575258.1,AY575369.1
Diplacus congdonii,,AY575489.1,,,AY575275.1,AY575383.1
Diplacus constrictus,,AY575457.1,,,AY575238.1,AY575349.1
Diplacus cusickii,,AY575476.1,,,AY575257.1,AY575368.1
Diplacus douglasii,,AF478984.1,,,AY575273.1,AY575381.1
Diplacus fremontii,,AY575465.1,,,AY575246.1,AY575357.1
Diplacus grandiflorus,,AY575496.1,,,AY575283.1,AY575392.1
Diplacus jepsonii,,AY575478.1,,,AY575259.1,AY575370.1
Diplacus johnstonii,,AY575467.1,,,AY575248.1,AY575359.1
Diplacus kelloggii,,AY575488.1,,,AY575274.1,AY575382.1
Diplacus layneae,,AY575480.1,,,AY575260.1,AY575372.1
Diplacus leptaleus,,AY575458.1,,,AY575239.1,AY575351.1
Diplacus longiflorus,,,,,,AY575394.1
Diplacus mephiticus,,AY575463.1,,,AY575244.1,AY575355.1
Diplacus mohavensis,,AY575482.1,,,AY575264.1,AY575375.1
Diplacus nanus,,AY575469.1,,,AY575249.1,AY575362.1
Diplacus parryi,,AY575491.1,,,AY575277.1,AY575385.1
Diplacus pictus,,AY575483.1,,,AY575265.1,AY575376.1
Diplacus pulchellus,,AF478985.1,,,AY575270.1,AY575379.1
Diplacus puniceus,,AY575492.1,,,AY575279.1,AY575387.1
Diplacus pygmaeus,,,,,AY575272.1,
Diplacus rattanii,,AY575464.1,,,AY575245.1,AY575356.1
Diplacus rupicola,,AY575490.1,,,AY575276.1,AY575384.1
Diplacus torreyi,,AY575481.1,,,AY575263.1,AY575374.1
Diplacus tricolor,,AY575484.1,,,AY575268.1,AY575377.1
Diplacus viscidus,,AY575462.1,,,AY575243.1,AY575354.1
Diplacus whitneyi,,AF478980.1,,,AF478948.1,AF478915.1
Elacholoma prostrata,,AY943150.1,,,AY943099.1,AY943125.1
Erythranthe alsinoides,DQ090909.1,AY575542.1,,,AY575340.1,AY575450.1
Erythranthe ampliata,DQ090895.1,AY575517.1,,,AY575310.1,AY575421.1
Erythranthe androsacea,,AY575502.1,,,,AY575400.1
Erythranthe arvensis,,AY575534.1,,,AY575329.1,AY575440.1
Erythranthe bicolor,DQ090892.1,AF478995.1,,,AY575298.1,AF478930.1
Erythranthe bodinieri,,,,,AY575323.1,AY575434.1
Erythranthe breviflora,DQ090899.1,AY575521.1,,,AY575314.1,AY575425.1
Erythranthe breweri,,AY575509.1,,,,
Erythranthe cardinalis,,AF478996.1,,,AF478964.1,AY575414.1
Erythranthe cuprea,,AY575540.1,,,AY575336.1,AY575447.1
Erythranthe dentata,DQ090907.1,,,,AY575338.1,AY575449.1
Erythranthe dentiloba,,AY575537.1,,,AY575333.1,AY575444.1
Erythranthe depressa,,AY575539.1,,,AY575335.1,AF478928.1
Erythranthe eastwoodiae,,,,,AY575306.1,AY575417.1
Erythranthe exigua,,AY575516.1,,,AY575309.1,AY575420.1
Erythranthe filicaulis,,AY575511.1,,,AY575299.1,AY575410.1
Erythranthe floribunda,DQ090904.1,AY575527.1,,,AY575320.1,AF478926.1
Erythranthe gemmipara,,AY575543.1,,,AY575341.1,AY575451.1
Erythranthe geniculata,DQ090906.1,AY575528.1,,,AY575321.1,AY575432.1
Erythranthe geyeri,JQ583950.1,,,,,
Erythranthe glabrata,,AY575538.1,,,AY575334.1,AY575445.1
Erythranthe glaucescens,,AY575536.1,,,AY575332.1,AY575443.1
Erythranthe gracilipes,,AY575508.1,,,AY575296.1,AY575407.1
Erythranthe guttata,JQ583865.1,KJ161975.1,KJ161978.1,KJ161981.1,AF478960.1,AY575439.1
Erythranthe hymenophylla,DQ090896.1,AY575518.1,,,AY575311.1,AY575422.1
Erythranthe inconspicua,,AY575544.1,,,AY575342.1,AY575452.1
Erythranthe inflatula,DQ104404.1,AY575547.1,,,AY575347.1,AY575455.1
Erythranthe jungermannioides,DQ090900.1,AY575522.1,,,AY575315.1,AY575426.1
Erythranthe latidens,DQ090903.1,AY575525.1,,,AY575318.1,AY575429.1
Erythranthe lewisii,DQ090893.1,AY575514.1,,KX371930.1,AF478965.1,AF478932.1
Erythranthe lutea,,AY575541.1,,KF997256.1,AY575337.1,U68164.1
Erythranthe madrensis,,AY575531.1,,,AY575327.1,AY575438.1
Erythranthe montioides,,AY575506.1,,,AY575293.1,AY575404.1
Erythranthe moschata,DQ090902.1,AY575524.1,,KX371927.1,AY575317.1,AY575428.1
Erythranthe nasuta,JQ583880.1,,,,,
Erythranthe nelsonii,,,,,AY575302.1,AY575413.1
Erythranthe nepalensis,,AY575530.1,,,AY575324.1,AF478925.1
Erythranthe norrisii,DQ090905.1,AY575529.1,,,AY575322.1,AY575433.1
Erythranthe nudata,,AY575535.1,,,AY575330.1,AY575441.1
Erythranthe palmeri,,AY575507.1,,,AY575295.1,AY575406.1
Erythranthe parishii,,AY575512.1,,,AY575300.1,AY575411.1
Diplacus_parviflorus,,AY575499.1,,,AY575287.1,AY575395.1
Erythranthe patula,DQ090897.1,AY575519.1,,,AY575312.1,AY575423.1
Erythranthe primuloides,DQ090894.1,AY575515.1,,,AY575308.1,AY575419.1
Erythranthe pulsiferae,DQ090898.1,AY575520.1,,,AY575313.1,AY575424.1
Erythranthe purpurea,,AY575504.1,,,,AY575402.1
Erythranthe rubella,,AY575510.1,,,AY575297.1,AY575408.1
Erythranthe rupestris,,AY575513.1,,,AY575301.1,AY575412.1
Erythranthe sessilifolia,,,,,AY575339.1,
Erythranthe shevockii,,AY575505.1,,,,AY575403.1
Erythranthe suksdorfii,,AY575503.1,,,AY575292.1,AY575401.1
Erythranthe szechuanensis,,FJ172692.1,FJ172706.1,FJ172734.1,,FJ172743.1
Erythranthe tenella,,FJ172691.1,FJ172705.1,FJ172733.1,AY575325.1,FJ172742.1
Erythranthe tilingii,,AF478994.1,,,AF478962.1,AY575442.1
